PLAYER,Mat_Batting,Not_out,Runs_Batting,High_Score,Avg_Batting,SR_Batting,X100,X50,Mat_Bowling,Overs,Runs_Bowling,Wkts,Avg_Bowling,Econ,SR_Bowling,X4w,X5w
Ravichandran Ashwin,14,1,102,45,12.75,143.66,0,0,14,50.4,410,10,41,8.09,30.4,0,0
Ravindra Jadeja,16,5,89,27,17.8,120.27,0,0,16,41,303,11,27.54,7.39,22.36,0,0
Rinku Singh,4,0,29,16,7.25,93.54,0,0,0,0,0,0,0,0,0,0,0
Rishabh Pant,14,1,684,128,52.61,173.6,1,5,0,0,0,0,0,0,0,0,0
Robin Uthappa,16,0,351,54,21.93,132.45,0,1,0,0,0,0,0,0,0,0,0
Rohit Sharma,14,2,286,94,23.83,133.02,0,2,0,0,0,0,0,0,0,0,0
Sam Billings,10,0,108,56,13.5,138.46,0,1,0,0,0,0,0,0,0,0,0
Sanju Samson,15,1,441,92,31.5,137.81,0,3,0,0,0,0,0,0,0,0,0
Sarfaraz Khan,7,1,51,22,10.2,124.39,0,0,0,0,0,0,0,0,0,0,0
Shakib Al Hasan,17,2,239,35,21.72,121.31,0,0,17,57,456,14,32.57,8,24.42,0,0
Shane Watson,15,1,555,117,39.64,154.59,2,2,15,28,251,6,41.83,8.96,28,0,0
Shardul Thakur,13,1,15,15,0,300,0,0,13,46.4,431,16,26.93,9.23,17.5,0,0
Shikhar Dhawan,16,3,497,92,38.23,136.91,0,4,0,0,0,0,0,0,0,0,0
Shivam Mavi,9,1,13,7,4.33,86.66,0,0,9,28,270,5,54,9.64,33.6,0,0
Shreevats Goswami,6,0,52,35,17.33,130,0,0,0,0,0,0,0,0,0,0,0
Shreyas Gopal,11,1,50,24,16.66,111.11,0,0,11,31,236,11,21.45,7.61,16.9,1,0
Shreyas Iyer,14,3,411,93,37.36,132.58,0,4,0,0,0,0,0,0,0,0,0
Shubman Gill,13,5,203,57,33.83,146.04,0,1,0,0,0,0,0,0,0,0,0
Stuart Binny,7,0,44,22,8.8,112.82,0,0,7,2,33,0,0,16.5,0,0,0
Sunil 0rine,16,0,357,75,22.31,189.89,0,2,16,61,467,17,27.47,7.65,21.52,0,0
Suresh Rai0,15,3,445,75,37.08,132.44,0,4,0,0,0,0,0,0,0,0,0
Suryakumar Yadav,14,0,512,72,36.57,133.33,0,4,0,0,0,0,0,0,0,0,0
Tim Southee,8,2,52,36,26,113.04,0,0,8,29,261,5,52.2,9,34.8,0,0
Tom Curran,5,1,23,18,7.66,82.14,0,0,5,10.1,118,6,19.66,11.6,10.16,0,0
Vijay Shankar,13,7,212,54,53,143.24,0,1,13,5,58,1,58,11.6,30,0,0
Virat Kohli,14,3,530,92,48.18,139.1,0,4,0,0,0,0,0,0,0,0,0
Washington Sundar,7,3,65,35,21.66,171.05,0,0,7,20,192,4,48,9.6,30,0,0
Wriddhiman Saha,11,2,122,35,15.25,119.6,0,0,0,0,0,0,0,0,0,0,0
Yusuf Pathan,15,4,260,45,28.88,130,0,0,15,2,14,1,14,7,12,0,0
Yuvraj Singh,8,0,65,20,10.83,89.04,0,0,8,2,23,0,0,11.5,0,0,0
Akila Da0njaya,0,0,0,0,0,0,0,0,1,4,47,0,0,11.75,0,0,0
Amit Mishra,0,0,0,0,0,0,0,0,10,37,264,12,22,7.13,18.5,0,0
Ankit Rajpoot,0,0,0,0,0,0,0,0,8,26.1,223,11,20.27,8.52,14.27,0,1
Ankit Sharma,0,0,0,0,0,0,0,0,1,1,11,0,0,11,0,0,0
Anureet Singh,0,0,0,0,0,0,0,0,3,4,42,1,42,10.5,24,0,0
Avesh Khan,0,0,0,0,0,0,0,0,6,19,204,4,51,10.73,28.5,0,0
Barinder Sran,0,0,0,0,0,0,0,0,6,22,229,4,57.25,10.4,33,0,0
